"text","class"
"omrumu yedin turkcell", "olumsuz"
"pelinozgen gayrettepe'nin gobeginde birakin 3G'yi edge hizina bile erisemiyor turkcell.. neyin kandirmacasi bu?", "olumsuz"
"Lan odada avea cekmiyo diye turkcelle gectim simdide turkcell cekmiyo avea full baslarim boyle ise", "olumsuz"
"Ya benim odamda telefon cekmiyor arkadaslar.(Turkcell) Resmen 50 yil geride yasiyorum ben.", "olumsuz"
"Hattimi tekrar Avea mi alsam yoksa bu sefer de Vodafone mu denesem. Turkcell'e bulasmiyorum bile. Kafamda deli sorular", "olumsuz"
"#turkcell ayricaliklari neymis diye bakabilmek icin #avea hattina muhtac olan ben... evet turkcell dort ceker olayi yalanmis...", "olumsuz"
"Turkcell reklamlari kadinlari neden bu kadar cok assagiliyor gullerin icinden yoksa vermez kucaktan kucaga ziplattilar kizi", "olumsuz"
"Turkcell turk telekom arena' da bile internetin kagni gibi.sana verdigim para haram olsun...", "olumsuz"
"Kandirdin beni turkcellher sey bitti", "olumsuz"
"Yasasin yarin vodafone'a gecme karari aldim. turkcell'e para yedirmeye son :DD", "olumsuz"
"Ulan on numara mekan sicak suyum bile var ama sebekem yok amk turkcell vodafone'ye geccem kesin", "olumsuz"
"onemli sahistan mesaj beklersin beklersin cat mesj gelir bir an heyecanla o mu acaba diye bakarsin sonra Turkcell oldugunu gorunce soversin!", "olumsuz"
"8 senedir kullandigim Turkcell numarami Vodafone'a tasidim gercekten iyi bi karar oldu insanlari somuruyorlar ya ucretlendirme normal degil.", "olumsuz"
"Turkcell bile ygsye sayili gunler kaldi diye mesaj atiyo. Amacaniz bizi cildirtmak mi?", "olumsuz"
"Gecerken arasindan daglarin tepelerin geldi veda zamani Turkcell 3G'nin.... :/ bu devirde edge mi kaldi yeaa", "olumsuz"
"Turkcell'in reklamlarinda muthis bir kalite dusuklugu var. Reklam fikri de parlak degil Produksiyon da basarisiz.", "olumsuz"
"Turkcell'in hani interneti hizliydikandirildim", "olumsuz"
"Turkcell artik yeter .Biktirdi reklam ve aday mesajlari.24 saat gece gunduz yagiyor.Numarami satip sen para kazaniyorsun ben cildiriyorum.", "olumsuz"
"Yandas yalaka hale gelen turkcell kullanmiyorum kullanilmasini tavsiye etmiyorum", "olumsuz"
"Turkcell sadece kazikliyosun Hizmet sifir ttnet gibi yolmaya basladin bizi hepinizin Allah belasini versin anca semsiye sokuyosunuz insana", "olumsuz"
"Lanet olsun sana Turkcell yaaa ! O kadar para veriyoruz internet Felc ! Hakkini verin Hiz limitimi nasil dusuruyorsun dolandiricisiniz", "olumsuz"
"Sabahtan beri net paketi yaptim halde internetimi kullanmadim abv turkcell", "olumsuz"
"Turkcell yine cekmiyor. Aldiklari para bosuna", "olumsuz"
"Turkcell su kontratim bitsin turkcell mi tovbe", "olumsuz"
"Turkcell'in reklam filmi Fatih'in Fedaisi Kara Murat filminden daha heyecanli yeminle... Eziyet resmen", "olumsuz"
"beni ugrastiran turkcell ve apple bir tutam kufuru hakettiniz(bedeli odendi)", "olumsuz"
"suan cok sinirliyim aq su turkcell serefsizi internet paketimi bitirdikten sonra sosyal paketimden kullanmaya baslayabildim abv", "olumsuz"
"Digiturk ttnet turkcell 5 para etmezsiniz alayinizin amk", "olumsuz"
"Turkcell denen illet nedir bilirmisin internet paketim bitti benimle gelirmisin.", "olumsuz"
"Turkcell internetin bitti diye mesaj atip durma moralim bozuluyor pislik", "olumsuz"
"8 sene bu turkcell in kahrini nasil cekmisim amk yaa", "olumsuz"
"Turkcell daha demin seni ovdum ama simdi sovuyorum. Yaptigim paket degismis whywhyhwy. Abv turkcel", "olumsuz"
"Turkcell yeter amk eski sevgilimden daha cok mesaj atiyosun", "olumsuz"
"Turkcell'den kurtulmus biri olarak cok yanlis insani ariyorsunuz #turkcell", "olumsuz"
"turkcell yavas internette 1 numara", "olumsuz"
"Allah belani versin turkcell", "olumsuz"
"Turkcell 3G'nin su ara sictigini dusunuyorum..", "olumsuz"
"Turkcell kadar boktan bi operator gormedim", "olumsuz"
"Turkcell fiyat olarak gecirmeyi cok iyi biliyorsun ama hala internet baglantin les", "olumsuz"
"internet paketim dogum gunumde bitiyormus ulan Turkcell yine yaptin yapacagini", "olumsuz"
"Turkcell kadar kazikci bi hat yok", "olumsuz"
"Turkcell den bi turlu kurtulamadik abi", "olumsuz"
"Turkcell Allah seni bildigi gibi yapsin kampanyalarinla ilgilenmiyorum sirf bu yuzden de hattimi tasiyacam.zaten internetin de cekmiyor", "olumsuz"
"Ben Turkcell kadar kazikcisini gormedim", "olumsuz"
"Ayip ettin turkcell", "olumsuz"
"Gozun ciksin turkcell! O parayi sana netin cekmesin diye mi bayildim", "olumsuz"
"Turkcell reklamindaki gencleri gordukce gencligimden utaniyorum lan", "olumsuz"
"internet paketine soveyim turkcell", "olumsuz"
"Avea cekmiyor Vodafone da tarife yok Turkcell kazik. Pttcell mi olsam acep lan", "olumsuz"
"96kbps hizda internet mi olur turkcell allahsiz felan misin", "olumsuz"
"Turkcell somure somure bi sey birakmadin be bizde", "olumsuz"
"Turkcell bile cekmiyor arkadas deli etti yada yogunluk mu var neci", "olumsuz"
"Turkcell itina ile 3 gecedir bana sikinti yaratip duruyorsun yeminle canimi sikiyorsun he", "olumsuz"
"RTE den bana bayram mesaji geldigi icin turkcell i kiniyorum. cok pis kiniyorum hem de", "olumsuz"
"Turkcell cok yavsaksin", "olumsuz"
"cok utaniyorum ama itiraf edeyim.o mesaj az once bana da geldi. Turkcell i yarin birakiyorum", "olumsuz"
"Turkcell sari kutudan migros sanal market ceki almayin sifreyi yollamiyorlar rezillik", "olumsuz"
"Turkcell yedi sulalene sovdum amk", "olumsuz"
"Turkcell Allah bin belani versin", "olumsuz"
"Sakin su Turkcell'in Winn'indan kullanmayin hem her yerde iyi cekmiyor hem de sozlesmeyi iptal ettirene kadar canim cikti", "olumsuz"
"Turkcell 11 ay boyunca kazikliyor ramazanda da millet hattini tasimasin diye boyle yapiyor", "olumsuz"
"Turkcell den yine kazik yedik. Artik bu son idi. Vodafone a geciyorum ben", "olumsuz"
"Turkcell ile yollarimizi ayirdik mutluyum", "olumsuz"
"Turkcell'den nefret ediyorum", "olumsuz"
"yillardir turkcell bizi kazikliyodu sonunda avea dayanamadi bize kucak acti", "olumsuz"
"Serefsiz turkcell daha yeni getiriyorlar turkcell'e o kadar bekledim sony xperia z2 yi daha yeni geldi amk. Bu aksam iyi sovdum size", "olumsuz"
"off of omrumu yedin turkcell", "olumsuz"
"Turkcell ne serefsizsin", "olumsuz"
"Turkcell de ayri bi serefsiz yeminle", "olumsuz"
"Allah belani versin turkcell insallah iflas edersiniz", "olumsuz"
"Her yerde cekiyorsun fakat fena geciriyorsun Turkcell", "olumsuz"
"O degil de bugun kerim turkcell den fena kazik yedi", "olumsuz"
"Turkcell turbo internet'e sakin gecmeyin cevirmeli agi mumla ararsiniz berbat otesi baglanti hizi var", "olumsuz"
"Turkcell'deki bu net kopmasi beni deli ediyor. Havadandir havadan", "olumsuz"
"Kandil diye kilitlenirsin deprem olur titrersingecirdin mi on numara gecirirsinlan turkcell Allah belani versin", "olumsuz"
"Bu serefsiz turkcell her seferinde internet paketimin bittigini haber vermiyor ve bakiyemden yiyor. Bildigin hirsizlik amaci -8e dusurmek", "olumsuz"
"Allahim konturumu yedi sms yapmadi oc turkcell", "olumsuz"
"Turkcell avea vodafone reklamlarindan irite oldum arkadas biz size neden para veriyoruz? En ufak depremde hatlar kesilsin diye mi", "olumsuz"
"Bu turkcell telefonlarinin basina buyruk tavirlari da ayri bi sinir bozucu", "olumsuz"
"cok pahalisin be turkcell", "olumsuz"
"7 yillik turkcellli hayat bitti. Allah belani versin turkcell", "olumsuz"
"Turkcell nefretimi kazandi bu sefer", "olumsuz"
"Artik vodafone'a gecmem lazim turkcell biktirdin beni", "olumsuz"
"Evin bi yerinde internet cekmez bi yerinde telefon zaten hic cekmez. Basliycam Turkcell'den de onun cekim gucunden de", "olumsuz"
"Hayat kaziklarla dolu.Bkz.Son turkcell faturam 70 lira.Kredi kartimin bloke ettigi rakam 100 lira.Sorunlarin yarattigi stres paha bicilemez", "olumsuz"
"O degilde Turkcell cok masrafli", "olumsuz"
"Turkcell tam bir somurge sirketi", "olumsuz"
"Devlet dinlenme korkusu olmadan gizli bir toplanti yapmak isterse benim eve gelsin Turkcell bile cekmiyor..", "olumsuz"
"Turkcell 3G bu saatte felaket yavas.. Hayrola? turkcellhizmet turkcell", "olumsuz"
"Bugun de turkcell in bana attigi kaziklara agladim iste ama hayat devam ediyor", "olumsuz"
"Onca zamandan sonra beni bu gece sair yaptiniz ya helal. Tum kufurlerim turkcell ve hayata", "olumsuz"
"Turkcell bana mesaj atmasin baska bi sey istemiyorum duygularimla oynuyor serefsiz", "olumsuz"
"Turkcell tamam sana uyuz oldugum dogru da hattimi iptal etmeyeydin eyiydi.", "olumsuz"
"Berbat reklam turkcell", "olumsuz"
"Turkcell yedin bitirdin beni be askerde yapma hic olmazsa", "olumsuz"
"627 tl turkcell faturasi yatirdim yuh ki ne yuh", "olumsuz"
"Odemeye her gittigim de sorunla karsilastigim bi turkcell ve odemeyi gerceklestiremedigim bi telefon faturam var", "olumsuz"
"Kazikla turkcell kaziklaaa. Yarin ilk is numarayi tasimiyomuyum", "olumsuz"
"Turkcell kadar basarisiz bi internette gormedim", "olumsuz"
"Yemin ediyorum Turkcell benden kestigi paralarla zengin oldu", "olumsuz"
"Allahsiz turkcell bi ogrenciden 194 tl fatura parasi alinirmi lan Allahin yokmu senin. icim yaniyo icim", "olumsuz"
"Lan bu turkcell mal mi? Smsi 33kurusa atti", "olumsuz"
"Nalet Turkcell Nalet", "olumsuz"
"Sonunda turkcell eziyetinden kurtuluyorum allaaam", "olumsuz"
"Turkcell reklamlarindan dolayi operatorumden utaniyorum", "olumsuz"
"Turkcell senin Allah belani versin", "olumsuz"
"internet hizina sokayim Turkcell", "olumsuz"
"Turkcell bizim tuvalette internetin cekmiyor", "olumsuz"
"Turkcell senin agzina etsinler sevgililerin ayrilma sebebi olacaksin", "olumsuz"
"Turkcell'den hic memnun degilim iptal ettiresim var", "olumsuz"
"Aklin yolu birdir yavsak Turkcell'in ismi var diye aldanmayin Avea on numara kisa zaman sonra geciyorum en azindan abonelerini koparmiyo", "olumsuz"
"sabriyide reklamda oynatttin ya allah belani versin turkcell", "olumsuz"
"Sabri reyiz ile ilgili onlarca guzel reklam cekilebilirken turkcell gibi bi marka dunyanin en mal reklamini cekti", "olumsuz"
"Sonunda kurtuldum turkcellden fakyu turkcell", "olumsuz"
"Turkcell kadar boktan bir operator olamaz !! Turkcell'e gectigim gune lanet olsun", "olumsuz"
"TURKCELL ALLAH BELANi VERSiN !!!! Evet versin yaa fatura odeniyor 1 hafta bitiyo ek paket var hala internet kisitlaniyor !!!!!! Bu ne yaa", "olumsuz"
"Sen turkcellsin lan turkcell senin cekmeme gibi bi luksun yok", "olumsuz"
"Lanet olsun sana turkcell!!! 10 gunde hem 500 mb netimi bitirip hemde iki kati fatura yollandin bana.Allah sizin evinize ates dusursun", "olumsuz"
"Arkadaslar turkcell 4 falan cekmiyo. Hic cekmiyor hatta", "olumsuz"
"Somurdun bizi turkcell", "olumsuz"
"Turkcell reklamlari sacma otesi sadece calisanlariyla duygu somurusu yapiyo", "olumsuz"
"Yemin ederim biktim senden turkcell", "olumsuz"
"Allah internet hizimi dusuren Turkcell'e atesler salsin", "olumsuz"
"Gece gece turkcell 'e sovme keyfii", "olumsuz"
"Turkcell mesajlari gec iletiyorsa bu benim sucum mu", "olumsuz"
"Turkcell'in duygu somurulu bol aglamakli reklamlarindan sikilmadik mi", "olumsuz"
"Coca cola'yla Turkcell'in reklamlari resmen insanlari duygularindan vurmak icin var", "olumsuz"
"Kiz Turkcell Allah umutlarini sinende biraksin ocagina atesler salsin e mi boyle fatura olur mu laayynn", "olumsuz"
"Turkcell kadar mal bir operator tanimiyorum ayar etti beni sabahtan beri", "olumsuz"
"Allah bu kapitalist dunyanin belasini versin. Turkcellvodafone hepsi soyguncu. Hizmet SiFiR", "olumsuz"
"Turkcell senin Allah belani versin bok gibi internet paketi yapmissin", "olumsuz"
"Hayir turkcell ben sana sovmekten biktim sen sovulmekten bikmadin", "olumsuz"
"Telefon nete o kada yavas baglaniyo ki atcagim twiti unuttum allahin yok mu lan turkcell", "olumsuz"
"Bi film izleyecektim burnumdan getirdin Turkcell.", "olumsuz"
"Turkcell reklamlari cok salak", "olumsuz"
"yarin gidiyim de Avea' ya geciyim Turkcell' den hayir yok artik", "olumsuz"
"Devlet bir turkcell iki hirsizlikta yarisiyorlar birbirleriyle", "olumsuz"
"Bu turkcell kadar hirsiz gormedim", "olumsuz"
"Bu Turkcell. Bugunde insanlarin duygularini somuren sacma sapan bir reklam filmi yayinladi", "olumsuz"
"turkcell ne kadar sacma salak reklam yapmaa basladii yaa", "olumsuz"
"Turkcell yine yapti yapacagini", "olumsuz"
"turkcell lanet olsun cok kaziksin amk", "olumsuz"
"Allah belani versin Turkcell", "olumsuz"
"Sirf dk si 70 kurus diye sesli mesajimi dinleyemiyorum. Kahrolsun fakirlikkahrolsun turkcell", "olumsuz"
"Hasstirr ya internet paketim bitti whatsapp da kapandi. Lanet olsun bu hayat lanet olsun Turkcell", "olumsuz"
"Turkcell maxiplus5 alacak veya dusunen varsa vazgecsin cok berbat bisy taksiti var diye kiramoyrm yoksa duvara yapstiricam", "olumsuz"
"Turkcell sacma sacma mesajlari atmayi kesermisin lutfen", "olumsuz"
"Turkcell sanirim suan Yesilkoy'de bizim eve ugramiyor. Babam ve benim telefonumda servis yok diyor", "olumsuz"
"Turkcell beni sesimden tanir. Turkcell beni sesimden tanir. Turkcell beni eeee allah belanizi versin ya", "olumsuz"
"Bugunun butun beddualari turkcell internete gelsin  cildirttin beni delirttin kafayi yedirttin", "olumsuz"
"turkcell kadar para duskunu ve dolandirici bir operator daha yok. yasasin avea", "olumsuz"
"Turkcell reklaminda yayvan yayvan konusan bebeyi duyunca sinirleri tepesine cikan bir ben miyim yaa", "olumsuz"
"Turkcell lanet olsun sana ya", "olumsuz"
"la bu turkcell cani sikildikca parami aliyor biktim la sizden", "olumsuz"
"Turkcell  Vodafone Avea bosuna reklam yapiyolar cunku bizim koyde hic biriside cekmiyor", "olumsuz"
"Bu bodrumda neden turkcell interneti yavas avea bile daha iyi cekiyo yaziklar olsun turkcell", "olumsuz"
"Su turkcell reklami ne kadar salakca lan anlamini bilmiyor yazilisini biliyor adam", "olumsuz"
"Turkcell kadar kazik bir hat daha yok", "olumsuz"
"Turkcell kurumsal musteri temsilcisinin babamla imtihani adam geldigine gelecegine pisman oldu", "olumsuz"
"Nefret ederek kullandigim 3 sey; Babet corabi strec film turkcell.", "olumsuz"
"kazik turkcell", "olumsuz"
"Turkcell annen olsun yaa", "olumsuz"
"internetin yavasligi gozlerimi dolduruyo turkcell", "olumsuz"
"Bir ton para veriyorum adam gibi cekmiyor. Ya biraz daha verip turkcell keyfini surecegim ya da avea'ya gecip daha az paraya rezil olacagim!", "olumsuz"
"Turkcell Allah belani versin bu gun gazete okuyamadim sosyal aglara giris iskence oldu zaten dengesizim biri ile ugrasiyorum", "olumsuz"
"Turkcell kadar igrenc bir operator yok", "olumsuz"
"Turkcell'in reklamlari beni kucuk cocuklardan sogutuyor", "olumsuz"
"Turkcell kadar serefsiz varmiya tl yuklendigini internet paketinin yenilenmesinden anliyorum tl yi gorunce hemen aliyo", "olumsuz"
"Turkcell bildigin adam soyuyor yaa yok boyle bisey baska bir operatore gecmem an meselesi yeter somurdukler", "olumsuz"
"Turkcell cozum getirmedin bari musteri hizmetlerinden para alma.", "olumsuz"
"Turkcell beni sesimden tanir' derken kendimi dunyanin en mal insaniymis gibi hissediyorum.", "olumsuz"
"bu turkcell reklamlarindaki insanlar gercekten bu kadar gerizekali mi acaba", "olumsuz"
"Ah Turkcell ah beni bu sapsal uygulamalarinla hergun biraz daha Vodafone'un kollarina ittigini bilsen bunca duyarsiz olur muydun", "olumsuz"
"80 tl cepfaturasi mi olur hani hayat paylasinca guzeldi. Allah belani versin turkcell", "olumsuz"
"Turkcell gibi digerleri de cagri merkezini arayip da musteri temsilcisi ile konustugumuzda ucretlendiriyor muyoksa Turkcell usulu kazik mi", "olumsuz"
"SU TURKCELL REKLAMLARiNi iZLEDiKcE GENcLiGiMDEN UTANiYORUM AQ", "olumsuz"
"Turkcell'e bayildigim paralar haram olsun lan", "olumsuz"
"Son gelen turkcell telefon faturasindan sonra vodafonea gecmek sart oldu. Brand loyaltyde bi yere kadar ama", "olumsuz"
"Turkcell reklamlarindaki o kucuk kizi alip bogabilirim", "olumsuz"
"Digiturk ttnet ve turkcell iptallerine dogru yol aliyorum.. Degisim guzeldi", "olumsuz"
"Su turkcell ve freezone reklamlari cikinca gecligimden utandigim dogrudur", "olumsuz"
"Turkcell tarafindan kaziklanmam disinda cok guzel bi gun", "olumsuz"
"Bi de her yerden cekiyomus.Bak bak yalana bak.Odamdayim be Turkcell", "olumsuz"
"her ay artan sms ve mms hakkimda haram olsun sana turkcell", "olumsuz"
"Koskoca Silivri de telefon cekmiyor. Turkcell burayi teget gectiyse demek ki.", "olumsuz"
"Vodafone'a gectim lanet olasi Turkcell'den kurtuldum", "olumsuz"
"Su turkcell kadar serefsiz yok. Facebook paketi aliyorum 2 dk sonra paketin yok diyo birde utanmadan parami aliyo", "olumsuz"
"Turkcell kadar yuzsuzunu de gormedim. Cevap vermedikce daha cok mesaj atiyor", "olumsuz"
"Yine turkcell reklamini izledim zarardayim hesap ortada kahrolsun turkcell #diren70milyon", "olumsuz"
"Turkcell'cigim teknolojini ilerletecek cagi mi buldun gulum? Batirdin beni aptal gerizekali", "olumsuz"
"turkcell'e dava acalim mesajlar iletilmiyor bu ne rezalettir", "olumsuz"
"Sosyal paketim olduguna ragmen 1 krs 10 krs alip konturlerimi yiyen #Turkcell Allah belani versin en kisa zamanda Turkcelli birakicam", "olumsuz"
"Turkcell parami aldi paketi yapmadi simdi saldiricam", "olumsuz"
"Turkcell senden nefret ediyorum", "olumsuz"
"Sirf bu yuzden vodofondayim turkcell pismanliktir", "olumsuz"
"Allah belani versin turkcell beni gec sulalemde 25 yasina basan insan yok", "olumsuz"
"Hergun turkcell mesaj atiyor diye hatti mi vodafone yaptirdim salaklar farketmediler hala mesaj atiyorlar kontorleri gidiyor kafam yinezehir", "olumsuz"
"Allah turkcell kere belani versin", "olumsuz"
"internet paketim oldugu halde neden paralarimi yiyosun zalimsin turkcell", "olumsuz"
"Kotasiz internet istiyorum turkcell Allah belani versin", "olumsuz"
"Turkcell senin kadar serefsizini gormedim", "olumsuz"
"Turkcell faturami bir kabartiyor bir kabartiyor ayar oluyorum", "olumsuz"
"Birde Turkcell'in cekim gucu vardi bok var", "olumsuz"
"Vallahi yalan turkcell", "olumsuz"
"o tl bu gecede gelmez ama faturaya yansirsa seni yaktim turkcell", "olumsuz"
"Turkcell cevizlibag in gobeginde tercuman sitesinde cekmiyor", "olumsuz"
"eski telefon faturamin odenmemis 200 lira borcu varmis :/ turkcell cigerimi yedin doymadinmi amk", "olumsuz"
"internet paketi yapicaktim Turkcell 2 tl aldi lanet olsun yaa", "olumsuz"
"Cahit Berkay'li Turkcell reklamindan igreniyorum.Yok boyle igrenc reklam ya resmen", "olumsuz"
"Turkcell Cuzdan uygulamasi tam bir felaket. Korkunc yavas ve hatali! Birde Nasil reklamini yapiyor Turkcell bu uygulamanin turkcellcuzdan", "olumsuz"
"Turkcell seni cok kotu parcalarim kontorlerimi yemekten bikmadin amk", "olumsuz"
"Sabah sabah turkcell 9 tane mesaj attii yuh be", "olumsuz"
"Turkcell'in reklam ajansi gercekten inanilmaz kotu", "olumsuz"
"Turkcell Style den sonra Harlem Shake .. Turkcell reklamlarida baydi yani", "olumsuz"
"Turkcell Harlem Shake reklaminda saygi cercevesinde danseden gencler sinir bozucu", "olumsuz"
"Harlem shake midir nedir hic izlememistim gerzek turkcell reklamlari yuzunden 3 kere izledimve su an kendimden nefret ediyorum", "olumsuz"
"Turkcell isin foseptigini cikarmis artik...simdi de Harlem Shake versiyon reklam yapmislar lanet olsun", "olumsuz"
"Turkcell in harlem Shake reklamini da gordum ya artik beyinin bedava olduguna hakikaten inandim ne Salak sarki bu ya", "olumsuz"
"turkcell bana hayatimin kazigini atti kontor yukluyom aninda bitiyor", "olumsuz"
"YSaltkalp bi sms icin ugraslarimiz. Lanet olsun turkcell", "olumsuz"
"Tl yukledim serefsiz turkcell parami aldi ben ne hayaller kurmustum halbuki sms yapicaktim", "olumsuz"
"Daglarda tepelerde vadilerde ceken Turkcell goztepe karsiyaka arasi denizde cekmiyor", "olumsuz"
